time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
93,68,129,,6450,-7.156498765945434,7.454689750829857e-07,-0.07287442684173584,1.0126218795776367,-0.027559353129937847,0.2,0.10800000093877316,-0.05289566144347191,0.023595156,1280,0.00025,2960.0,9.35e-05
94,69,130,,6500,-7.155723524093628,9.164379093817842e-07,-0.6406799554824829,1.0125010013580322,-0.005549284952692801,0.2,0.03999999947845936,-0.012434852309525013,0.008258957,1290,0.00025,2960.0,9.35e-05
94,69,131,,6550,-7.157093954086304,9.563894906250426e-07,-4.585267066955566,1.0132707357406616,-0.006370085265603853,0.2,0.03399999924004078,-0.012159655801951885,0.009164862,1300,0.00025,2960.0,9.35e-05
94,70,132,,6600,-7.161381483078003,1.7392399286109138e-06,-32.355655670166016,1.0142573118209839,-0.015044805339537604,0.2,0.10199999921023846,-0.025858227163553238,0.017602568,1310,0.00025,2960.0,9.35e-05
94,70,133,,6650,-7.1660843849182125,6.599945464813572e-07,-2.747922897338867,1.0150597095489502,-0.004808451046701556,0.2,0.007999999821186066,-0.016733869910240173,0.0047808792,1320,0.00025,2960.0,9.35e-05
94,70,134,,6700,-7.16849365234375,5.201204317017982e-07,0.00563126802444458,1.0152333974838257,-0.023980723931454406,0.2,0.08400000035762786,-0.04455030336976051,0.018033842,1330,0.00025,2960.0,9.35e-05
94,71,135,,6750,-7.168473720550537,7.52036686435531e-07,-12.449045181274414,1.0150619745254517,-0.017096533794887493,0.2,0.058000000566244124,-0.03544178232550621,0.014486326,1340,0.00025,2960.0,9.35e-05
94,71,136,,6800,-7.167898035049438,4.6749867266271394e-07,-15.099197387695312,1.015169382095337,-0.013252938270569104,0.2,0.16200000047683716,-0.018100837245583534,0.027131671,1350,0.00025,2960.0,9.35e-05
94,72,137,,6850,-7.168639135360718,4.493084020396054e-07,-3.15596342086792,1.0151779651641846,-0.0071544738017834675,0.2,0.015999999642372132,-0.016978884115815163,0.00710395,1360,0.00025,2960.0,9.35e-05
94,72,138,,6900,-7.169205188751221,8.405714936543518e-07,-3.5566039085388184,1.0156935453414917,-0.002396618724567645,0.2,0.009999999776482582,-0.010313221253454685,0.005623057,1370,0.00025,2960.0,9.35e-05
