,date,dji
352,2023-08-09,1047072.6071404323
353,2023-08-10,1048646.317123872
354,2023-08-11,1051783.9552616403
355,2023-08-14,1052565.9193388042
356,2023-08-15,1041796.9406397851
357,2023-08-16,1036411.4614623298
358,2023-08-17,1027739.054802814
359,2023-08-18,1028509.140944629
360,2023-08-21,1027407.0548647656
361,2023-08-22,1022194.1551009152
362,2023-08-23,1027683.97378889
363,2023-08-24,1016547.7106968143
364,2023-08-25,1023925.3059529067
365,2023-08-28,1030277.5559075203
366,2023-08-29,1039003.0639250685
367,2023-08-30,1040122.9669079557
368,2023-08-31,1035104.8885739036
369,2023-09-01,1038557.0590977358
370,2023-09-05,1032721.7322315112
371,2023-09-06,1026795.923446008
372,2023-09-07,1028511.237050867
373,2023-09-08,1030772.702781102
374,2023-09-11,1033370.1277611686
375,2023-09-12,1032841.5596381235
376,2023-09-13,1030741.1447371837
377,2023-09-14,1040625.9159547572
378,2023-09-15,1032014.2963761467
379,2023-09-18,1032195.027314011
380,2023-09-19,1029018.0289591051
381,2023-09-20,1026726.9848408431
382,2023-09-21,1015683.1833239377
383,2023-09-22,1012505.8356179921
384,2023-09-25,1013788.8855364128
385,2023-09-26,1002222.1055130971
386,2023-09-27,1000176.7716260812
387,2023-09-28,1003636.9772238261
388,2023-09-29,998901.7567815732
389,2023-10-02,996691.2963031323
390,2023-10-03,983843.4460172876
391,2023-10-04,987634.6034999618
392,2023-10-05,987337.0728644957
393,2023-10-06,995922.9569165158
394,2023-10-09,1001797.8769005715
395,2023-10-10,1005812.0367969121
396,2023-10-11,1007766.7723143026
397,2023-10-12,1002587.6431509556
398,2023-10-13,1003754.7085242003
399,2023-10-16,1013122.9060044244
400,2023-10-17,1013513.7133674867
401,2023-10-18,1003599.3637618865
402,2023-10-19,996119.5251015127
403,2023-10-20,987566.9458486092
404,2023-10-23,981876.8325645477
405,2023-10-24,987987.2151493516
406,2023-10-25,984843.638043909
407,2023-10-26,977342.2560694212
408,2023-10-27,966410.1304348686
409,2023-10-30,981654.7617536538
410,2023-10-31,985348.6831969487
411,2023-11-01,991958.055516771
412,2023-11-02,1008786.5279991466
413,2023-11-03,1015411.854016448
414,2023-11-06,1016441.5079807498
415,2023-11-07,1018133.0657149102
416,2023-11-08,1016930.715886657
417,2023-11-09,1010362.4505391709
418,2023-11-10,1022023.4388928553
419,2023-11-13,1023656.189202002
420,2023-11-14,1038258.5968594973
421,2023-11-15,1043133.0919162383
422,2023-11-16,1041769.4583579967
423,2023-11-17,1041823.4913188014
424,2023-11-20,1047897.7742961713
425,2023-11-21,1046027.1159289984
426,2023-11-22,1051534.518619304
427,2023-11-24,1055025.9329099276
428,2023-11-27,1053336.2383813122
429,2023-11-28,1055825.8303404625
430,2023-11-29,1056226.5359829823
431,2023-11-30,1071742.3801589105
432,2023-12-01,1080525.0652966206
433,2023-12-04,1079301.0557039068
434,2023-12-05,1076919.6461167128
435,2023-12-06,1074829.0130448844
436,2023-12-07,1076705.6103797317
437,2023-12-08,1080595.7506569836
438,2023-12-11,1085277.8697412042
439,2023-12-12,1090435.5720407842
440,2023-12-13,1105707.8020917044
441,2023-12-14,1110421.3627694969
442,2023-12-15,1112114.9001595487
443,2023-12-18,1112140.5192357923
444,2023-12-19,1119650.0527345394
445,2023-12-20,1105462.208310805
446,2023-12-21,1115071.923809799
447,2023-12-22,1114523.9084788777
448,2023-12-26,1119274.6168172234
449,2023-12-27,1122589.375932112
450,2023-12-28,1124186.725335904
451,2023-12-29,
