Date,BCRP_net_worth
2023-01-23,1199854.5843174094
2023-01-24,1203725.6589705085
2023-01-25,1204568.3990578498
2023-01-26,1213772.6427119179
2023-01-27,1217223.6088128567
2023-01-30,1207044.9671903704
2023-01-31,1218142.1313518027
2023-02-01,1218416.4206399308
2023-02-02,1219968.661356926
2023-02-03,1218264.3109891356
2023-02-06,1214094.7604030648
2023-02-07,1224698.0693660697
2023-02-08,1215316.5272938004
2023-02-09,1207334.950722002
2023-02-10,1213288.6650479182
2023-02-13,1226996.450127531
2023-02-14,1222472.1167085208
2023-02-15,1224770.4689219245
2023-02-16,1212256.9618554916
2023-02-17,1213303.8821376609
2023-02-21,1185735.5674232387
2023-02-22,1182249.8409842816
2023-02-23,1187891.2491639594
2023-02-24,1175578.4218791274
2023-02-27,1178066.8923262863
2023-02-28,1171084.9724902934
2023-03-01,1172437.4564999542
2023-03-02,1183987.1662839546
2023-03-03,1199630.4079815673
2023-03-06,1203814.0638954563
2023-03-07,1182709.628686611
2023-03-08,1182584.4039230824
2023-03-09,1165542.0073635445
2023-03-10,1152879.7276198424
2023-03-13,1149378.7243494224
2023-03-14,1164021.6675249976
2023-03-15,1155610.3838768748
2023-03-16,1168809.5090072192
2023-03-17,1156197.027643778
2023-03-20,1168019.6231857298
2023-03-21,1179025.2466846942
2023-03-22,1161237.6885640258
2023-03-23,1165937.4938573397
2023-03-24,1169967.1167218494
2023-03-27,1175815.493064905
2023-03-28,1174527.2802713185
2023-03-29,1189718.8918728884
2023-03-30,1195754.9142553387
2023-03-31,1211212.314760767
2023-04-03,1225154.7556703205
2023-04-04,1217839.9920256939
2023-04-05,1219232.591024313
2023-04-06,1216780.7610960598
2023-04-10,1220369.0805013676
2023-04-11,1223825.2700709247
2023-04-12,1220382.751203516
2023-04-13,1235774.9351143474
2023-04-14,1233022.9174748822
2023-04-17,1235663.2647867375
2023-04-18,1235886.7645738507
2023-04-19,1229443.0057133483
2023-04-20,1225331.9002005958
2023-04-21,1224915.2829995994
2023-04-24,1226215.137131504
2023-04-25,1211803.412921753
2023-04-26,1202910.556014305
2023-04-27,1219388.4307328644
2023-04-28,1233093.9950845547
2023-05-01,1228708.784147688
2023-05-02,1211283.3836002178
2023-05-03,1202194.3084988422
2023-05-04,1192813.9624466228
2023-05-05,1214049.2779500466
2023-05-08,1211844.3982655143
2023-05-09,1209969.5203589096
2023-05-10,1207011.6574308777
2023-05-11,1198708.9034403954
2023-05-12,1199511.850771303
2023-05-15,1203349.5937933007
2023-05-16,1189605.492046772
2023-05-17,1204740.4958430252
2023-05-18,1210673.922597269
2023-05-19,1209206.7213673077
2023-05-22,1205391.1848903217
2023-05-23,1198205.8197933577
2023-05-24,1189037.5075987529
2023-05-25,1184417.2487431506
2023-05-26,1198921.4860270233
2023-05-30,1197891.7648405037
2023-05-31,1196194.8525419503
2023-06-01,1204107.2765086726
2023-06-02,1229693.0801429215
2023-06-05,1222129.2918758069
2023-06-06,1225304.920833357
2023-06-07,1229474.1573144493
2023-06-08,1234137.1056729718
2023-06-09,1233782.980001669
2023-06-12,1243248.3975259417
2023-06-13,1249730.8782542725
2023-06-14,1244133.2316369019
2023-06-15,1260082.4124993
2023-06-16,1257673.460930807
2023-06-20,1247948.6976132602
2023-06-21,1242287.3690821896
2023-06-22,1243653.8967112026
2023-06-23,1236770.6107848529
2023-06-26,1236853.65729685
2023-06-27,1243975.0779417057
2023-06-28,1241577.0915985585
2023-06-29,1250152.8919262886
2023-06-30,1262284.9201855354
2023-07-03,1263743.6108043022
2023-07-05,1260173.9840997981
2023-07-06,1245451.014488142
2023-07-07,1239395.2091368923
2023-07-10,1249966.6168400517
2023-07-11,1261300.2131978301
2023-07-12,1265302.7562518502
2023-07-13,1266192.8557927322
2023-07-14,1267722.4298248328
2023-07-17,1272005.9514772224
2023-07-18,1284193.9956899222
2023-07-19,1289718.4389763507
2023-07-20,1291946.0421650962
2023-07-21,1291839.8519977913
2023-07-24,1297981.061084196
2023-07-25,1298207.2762558328
2023-07-26,1299202.0310870055
2023-07-27,1290737.7870784644
2023-07-28,1298352.0599336948
2023-07-31,1304049.9475652236
2023-08-01,1309313.178567833
2023-08-02,1296089.527516548
2023-08-03,1294920.7614220409
2023-08-04,1290208.6093709355
2023-08-07,1303844.8759802398
2023-08-08,1300411.7264774474
2023-08-09,1294077.3163612632
2023-08-10,1297516.9881433449
2023-08-11,1303498.6753394431
2023-08-14,1307123.491565035
2023-08-15,1293080.5383213577
2023-08-16,1285492.0135123807
2023-08-17,1277521.2446745397
2023-08-18,1279116.7083791445
2023-08-21,1279279.22114674
2023-08-22,1273365.78278969
2023-08-23,1282988.5621741428
2023-08-24,1266170.7894232846
2023-08-25,1275588.5191597424
2023-08-28,1282537.1403267079
2023-08-29,1294307.5734996223
2023-08-30,1298286.568588255
2023-08-31,1292881.7572695636
2023-09-01,1299774.5472727185
2023-09-05,1292628.5028352183
2023-09-06,1284765.759885704
2023-09-07,1287295.9535559139
2023-09-08,1291299.1189931773
2023-09-11,1292580.5751810512
2023-09-12,1292848.6421226787
2023-09-13,1290002.5685674744
2023-09-14,1300953.7508113862
2023-09-15,1290696.2426864586
2023-09-18,1291571.7288303375
2023-09-19,1285565.1920343647
2023-09-20,1279357.0380917091
2023-09-21,1264229.857867691
2023-09-22,1260757.358477577
2023-09-25,1262639.4357257863
2023-09-26,1248248.743416441
2023-09-27,1247921.0711754283
2023-09-28,1254247.1308876628
2023-09-29,1249590.7143490142
2023-10-02,1248147.9632199744
2023-10-03,1232094.7990389671
2023-10-04,1235329.3960396843
2023-10-05,1235184.7438698234
2023-10-06,1245200.015800951
2023-10-09,1254165.4567871667
2023-10-10,1260170.5641576233
2023-10-11,1261938.129590824
2023-10-12,1258255.119560436
2023-10-13,1257699.7664573556
2023-10-16,1268818.968149393
2023-10-17,1269234.6258067244
2023-10-18,1253762.9215952682
2023-10-19,1244450.9189358405
2023-10-20,1233572.1662450314
2023-10-23,1225280.814433773
2023-10-24,1230790.848661953
2023-10-25,1224682.9176086274
2023-10-26,1213331.81561936
2023-10-27,1201272.4438256358
2023-10-30,1217957.5169062233
2023-10-31,1219776.05750342
2023-11-01,1229176.0886280078
2023-11-02,1253091.6513161259
2023-11-03,1260607.34138204
2023-11-06,1261585.761620138
2023-11-07,1262707.3250665264
2023-11-08,1260758.410427538
2023-11-09,1250133.1808220062
2023-11-10,1265468.2862373427
2023-11-13,1266012.3039527435
2023-11-14,1287316.1532702828
2023-11-15,1295524.16849934
2023-11-16,1292779.5303580093
2023-11-17,1296997.737787695
2023-11-20,1304274.548648615
2023-11-21,1300176.2908932553
2023-11-22,1305733.8570079613
2023-11-24,1309996.0889404488
2023-11-27,1306491.032620041
2023-11-28,1308867.4288033524
2023-11-29,1311202.091511215
2023-11-30,1326368.5241346818
2023-12-01,1337514.343565693
2023-12-04,1333963.8623860588
2023-12-05,1331581.5483613051
2023-12-06,1328901.4556314545
2023-12-07,1335313.470924675
2023-12-08,1340776.1676630478
2023-12-11,1347667.662971695
2023-12-12,1352891.654453125
2023-12-13,1375864.1027158431
2023-12-14,1386264.8977770177
2023-12-15,1388463.8707917843
2023-12-18,1388296.9304511242
2023-12-19,1400157.8451057032
2023-12-20,1381999.9784289054
2023-12-21,1394075.902912058
2023-12-22,1397508.0283355503
2023-12-26,1405298.0069288043
2023-12-27,1409063.5760000057
2023-12-28,1409895.3987775669
2023-12-29,1408131.0782285575
