Date,OLMAR_net_worth
2023-08-09,1048482.1990206826
2023-08-10,1048239.2265494454
2023-08-11,1054382.1715033639
2023-08-14,1051688.17482978
2023-08-15,1041023.5106814492
2023-08-16,1036329.5986178506
2023-08-17,1033138.0508101571
2023-08-18,1033018.3500731576
2023-08-21,1026819.5745623696
2023-08-22,1020007.4834769357
2023-08-23,1025170.353861152
2023-08-24,1017720.1460784066
2023-08-25,1023463.0292113412
2023-08-28,1027908.5127909768
2023-08-29,1036445.9718516457
2023-08-30,1035975.6645148385
2023-08-31,1031292.9086516488
2023-09-01,1028926.2501185525
2023-09-05,1021244.3292830575
2023-09-06,1015143.629503547
2023-09-07,1017021.7378619302
2023-09-08,1018603.5648177254
2023-09-11,1021524.9609015572
2023-09-12,1024827.6642764199
2023-09-13,1023494.3240988839
2023-09-14,1035189.9160426247
2023-09-15,1027897.9271548379
2023-09-18,1028634.7154448617
2023-09-19,1026512.9420760262
2023-09-20,1027996.7492659676
2023-09-21,1015831.5309966195
2023-09-22,1012517.6860907662
2023-09-25,1012573.8965533364
2023-09-26,1003015.2849181283
2023-09-27,998945.9763072121
2023-09-28,1000998.8674300301
2023-09-29,994799.6835959333
2023-10-02,992100.4164584058
2023-10-03,989402.478023805
2023-10-04,990306.6377890485
2023-10-05,989548.3679354566
2023-10-06,993063.9440729993
2023-10-09,999474.2580683606
2023-10-10,1004653.8415377515
2023-10-11,1009103.2142737287
2023-10-12,1021436.8436816114
2023-10-13,1013033.9634783643
2023-10-16,1019753.8995612042
2023-10-17,1020851.3893683332
2023-10-18,1002319.471054353
2023-10-19,994632.5603964704
2023-10-20,991991.8782198804
2023-10-23,992054.3215735334
2023-10-24,998450.1836016553
2023-10-25,991596.2143500226
2023-10-26,982014.4119894879
2023-10-27,973619.7256529706
2023-10-30,989021.6581538098
2023-10-31,996633.8436396497
2023-11-01,992985.6789744275
2023-11-02,1017416.204635896
2023-11-03,1032553.8676340955
2023-11-06,1030071.7043574231
2023-11-07,1035633.4426615613
2023-11-08,1026615.820942201
2023-11-09,1014567.9586451428
2023-11-10,1021869.7246859448
2023-11-13,1016487.6161272901
2023-11-14,1036927.4739992993
2023-11-15,1051840.7934534925
2023-11-16,1047095.1436503308
2023-11-17,1048841.3497698682
2023-11-20,1053683.2023089307
2023-11-21,1050049.069870271
2023-11-22,1053009.8856280225
2023-11-24,1057115.3493655103
2023-11-27,1050085.901474275
2023-11-28,1050839.2936556714
2023-11-29,1057248.3960497754
2023-11-30,1061711.6309740918
2023-12-01,1078287.0371745008
2023-12-04,1078401.314377107
2023-12-05,1073206.8327563184
2023-12-06,1079093.5727846997
2023-12-07,1093350.2621729749
2023-12-08,1100979.744972505
2023-12-11,1111545.866870969
2023-12-12,1112008.638607114
2023-12-13,1135069.6180115636
2023-12-14,1151595.465133756
2023-12-15,1160980.111591428
2023-12-18,1156133.9149971898
2023-12-19,1172941.8831330235
2023-12-20,1156058.3390007908
2023-12-21,1170977.726245969
2023-12-22,1166540.0704804356
2023-12-26,1184083.3782845433
2023-12-27,1186448.3790665562
2023-12-28,1185233.4960480626
2023-12-29,1180946.1650277073
