date,ensemble,dji
2022-10-28,1026864.859729814,982996.3072587844
2022-10-31,1021795.4616890426,979141.9655273266
2022-11-01,1018039.4511986251,976756.4007183335
2022-11-02,1002573.7646408554,961637.1709697235
2022-11-03,995769.7717438216,957254.6187308669
2022-11-04,1009192.0344238754,969278.7837919473
2022-11-07,1022723.5187683578,981955.3101543898
2022-11-08,1034621.2840080734,991941.1236622533
2022-11-09,1018480.0991325852,972590.7180075672
2022-11-10,1050687.0683517929,1008529.1887572312
2022-11-11,1046742.7854195114,1009501.0119604246
2022-11-14,1039596.6582375044,1003184.5701069892
2022-11-15,1038000.576339769,1004866.3605799438
2022-11-16,1043291.2030754562,1003696.9477366637
2022-11-17,1046214.4765701768,1003472.366253372
2022-11-18,1052754.950622606,1009436.1614280485
2022-11-21,1049699.610630083,1008077.805682332
2022-11-22,1059392.3405228134,1019977.8199494494
2022-11-23,1063216.1824226852,1022848.1863058811
2022-11-25,1066827.3271790023,1027424.0632399024
2022-11-28,1054598.7093506332,1012540.2233966466
2022-11-29,1051046.2397690292,1012632.0657722278
2022-11-30,1078840.2608376022,1034685.1027577133
2022-12-01,1075316.2017708295,1028859.3048420212
2022-12-02,1075909.6471252914,1029902.2883591191
2022-12-05,1063536.84327321,1015460.9511575002
2022-12-06,1053411.045845079,1004968.6024102664
2022-12-07,1053170.4162521835,1005015.9257717301
2022-12-08,1060077.2674713607,1010506.721027382
2022-12-09,1049173.1770782943,1001382.6600893816
2022-12-12,1065409.1424713607,1017194.037817325
2022-12-13,1065788.866561937,1020293.0753302615
2022-12-14,1061851.8521805282,1016036.7771458778
2022-12-15,1039407.7739487168,993179.24301551
2022-12-16,1029745.0744209762,984751.0107627346
2022-12-19,1023734.810337114,979877.5224666197
2022-12-20,1025878.5470085616,982635.4812335997
2022-12-21,1042058.0210876936,998391.9404926841
2022-12-22,1031702.3462257858,987952.523801606
2022-12-23,1035269.512542772,993230.4223545744
2022-12-27,1034793.6145172592,994356.0172705731
2022-12-28,1024487.8752823347,983412.4022962464
2022-12-29,1034908.819282579,993735.0880290475
2022-12-30,1031540.1857719894,991534.9606883083
2023-01-03,1028456.6136589524,991209.5395483669
2023-01-04,1023679.779415178,995199.8921261054
2023-01-05,1011431.5906878297,985038.6900613111
2023-01-06,1031953.8329460692,1005993.7082130337
2023-01-09,1030586.0916659104,1002614.7033567219
2023-01-10,1037778.0741299988,1008192.0828366815
2023-01-11,1048136.774127565,1016236.0026552494
