date,ensemble,dji
2023-03-07,827075.5682944258,898084.1414618652
2023-03-08,828528.1207198104,896497.0864664163
2023-03-09,811401.923862358,881640.2273170133
2023-03-10,795956.1940459212,872204.1689021997
2023-03-13,795939.8471297225,869730.4814604238
2023-03-14,802228.7069853743,878921.6589123697
2023-03-15,786915.9456557235,871245.5723098196
2023-03-16,798291.6268462142,881413.1238471989
2023-03-17,790247.7037199935,870901.4470238715
2023-03-20,803274.1688956221,881359.2575093893
2023-03-21,808676.5558508834,889997.1972420863
2023-03-22,792649.7717131575,875497.0090569119
2023-03-23,791648.1763533553,877550.8700561352
2023-03-24,793589.2058218917,881166.5345366508
2023-03-27,800579.110164543,886484.3005517429
2023-03-28,802413.2599219283,885450.2697320831
2023-03-29,808658.9872855147,894288.566616217
2023-03-30,815299.2300566634,898154.3972602374
2023-03-31,823977.1185225447,909501.0290125484
2023-04-03,838922.0214995345,918439.1040784131
2023-04-04,822866.0715636214,913006.0245948681
2023-04-05,823323.723155876,915201.9987667865
2023-04-06,821718.2707139434,915272.2545651589
2023-04-10,827377.4708068923,918039.2439493795
2023-04-11,835074.6188805312,920725.3003622231
2023-04-12,834656.3743774489,919678.7238642824
2023-04-13,842747.499299345,930152.7102669026
2023-04-14,826913.991190153,926237.9247846548
2023-04-17,828669.2219943714,928990.713528779
2023-04-18,831295.7259926394,928702.3230859165
2023-04-19,823410.9487475242,926526.1016840572
2023-04-20,821898.2672510261,923508.7325928714
2023-04-21,816685.3781617489,924119.3601170218
2023-04-24,819514.4596579589,925935.3337016958
2023-04-25,814193.0340949115,916516.9993940704
2023-04-26,809258.6393996296,910258.7879807063
2023-04-27,823099.0171042499,924589.4760444277
2023-04-28,828790.338210207,932024.2051512022
2023-05-01,826908.9224234638,930754.2621939989
2023-05-02,821742.7275763568,920718.2534280398
2023-05-03,816240.9312621173,913330.183567297
2023-05-04,809493.890742403,905499.1177985806
2023-05-05,824434.9049254474,920440.7537016425
2023-05-08,822116.211508852,918918.6159180633
2023-05-09,820879.9190932331,917363.8059850894
2023-05-10,821670.1025038776,916530.6661755167
2023-05-11,821125.788600069,910467.6334846823
2023-05-12,820746.7940589008,910224.6210270907
2023-05-15,820687.2259894428,911536.098187283
2023-05-16,813261.9762145099,902339.4219912394
2023-05-17,822666.3391867694,913508.7058999388
2023-05-18,823401.6628218708,916655.9094148641
2023-05-19,821589.7929907856,913668.8634950124
2023-05-22,819399.071803194,909840.7766575643
2023-05-23,811867.3216544208,903524.9085099738
2023-05-24,807853.4822722492,896538.7274411353
2023-05-25,806732.7698355732,895574.6321046576
2023-05-26,816711.9172583637,904558.8859437687
2023-05-30,818964.8783446369,903176.939441744
