Date,CRP_net_worth
2023-11-13,1132392.5210594102
2023-11-14,1148881.274503929
2023-11-15,1157417.9975603523
2023-11-16,1154496.403681862
2023-11-17,1156123.7876482848
2023-11-20,1163415.6381068002
2023-11-21,1161165.6994720383
2023-11-22,1165988.3424158269
2023-11-24,1170256.1998109207
2023-11-27,1167551.0040581855
2023-11-28,1169664.1407723008
2023-11-29,1172565.0991432152
2023-11-30,1186970.9202404977
2023-12-01,1197968.221525528
2023-12-04,1196703.7077892877
2023-12-05,1193232.9795836753
2023-12-06,1192191.1386747207
2023-12-07,1197522.6667095756
2023-12-08,1201300.9002506905
2023-12-11,1208200.0620765458
2023-12-12,1211563.007248909
2023-12-13,1229492.207666237
2023-12-14,1236634.3086730805
2023-12-15,1238270.454310112
2023-12-18,1239649.9674521047
2023-12-19,1249316.8489020863
2023-12-20,1232075.2106299514
2023-12-21,1243746.4690026895
2023-12-22,1242695.4381094398
2023-12-26,1250096.2018358975
2023-12-27,1253016.766323328
2023-12-28,1254779.5524914856
2023-12-29,1253678.9350022355
