time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/clip_range,train/std,train/explained_variance,train/entropy_loss,train/loss
243712,90,119,2698,3.032174226547113e-06,0.00025,-0.00011772,-0.022915839248162227,1180,3212.0,0.026392786,0.14619140625,0.3,0.7395252585411072,-1.0224096775054932,-7.767982307076454,-0.020029699429869652
245760,90,120,2722,2.583614655549127e-06,0.00025,-0.00011673684210526315,-0.023157522807014174,1190,3212.0,0.026317224,0.111865234375,0.3,0.7395982146263123,-2.016605854034424,-7.7636262193322185,-0.02906128019094467
247808,90,121,2744,3.2127361073719385e-06,0.00025,-0.00011558441558441558,-0.022397788292437326,1200,3212.0,0.024050917,0.124169921875,0.3,0.7391148209571838,-3.3875012397766113,-7.761236514151096,-0.03429345786571503
249856,90,122,2765,3.1853544570026316e-06,0.00025,-0.00011558441558441558,-0.030450055086112114,1210,3212.0,0.03193442,0.153173828125,0.3,0.7323076128959656,-3.509439468383789,-7.723471531271935,-0.04070805385708809
251904,90,123,2788,2.8128745722000305e-06,0.00025,-0.00011428205128205128,-0.023055667035805527,1220,3212.0,0.024483368,0.136572265625,0.3,0.7311233878135681,-2.9585814476013184,-7.68576919734478,-0.061425890773534775
253952,90,124,2811,3.2879626100879023e-06,0.00025,-0.00011270886075949368,-0.02592187400587136,1230,3212.0,0.028829224,0.1328125,0.3,0.731972873210907,-1.6170377731323242,-7.683743618428707,-0.05646643042564392
256000,90,125,2833,3.081594395482057e-06,0.00025,-0.00011270886075949368,-0.02503665565891424,1240,3212.0,0.028294165,0.14990234375,0.3,0.7314091324806213,-2.2963006496429443,-7.6854331776499745,-0.045411981642246246
258048,90,126,2856,2.3120971125223377e-06,0.00025,-0.0001118125,-0.01931704226299189,1250,3212.0,0.020784847,0.090234375,0.3,0.7327683568000793,-1.5319719314575195,-7.685729831457138,-0.0140877990052104
260096,90,127,2877,2.539515524446756e-06,0.00025,-0.0001118125,-0.022122812218731268,1260,3212.0,0.025212077,0.12548828125,0.3,0.7305736541748047,-1.7475531101226807,-7.678274574875831,-0.01486040186136961
262144,90,128,2900,4.1150279940893595e-06,0.00025,-0.0001104320987654321,-0.025842228316469117,1270,3212.0,0.02906194,0.139599609375,0.3,0.7317832112312317,-2.9219765663146973,-7.676722905039787,-0.014887149445712566
264192,90,129,2923,2.0505542675408607e-06,0.00025,-0.00010978048780487804,-0.021947032213211058,1280,3212.0,0.028000731,0.122216796875,0.3,0.7280277609825134,-1.4948725700378418,-7.663388749957084,-0.011797367595136166
266240,90,130,2944,2.856545185991877e-06,0.00025,-0.00010978048780487804,-0.025878755481971893,1290,3212.0,0.02782771,0.138232421875,0.3,0.728537380695343,-2.0278263092041016,-7.644488850235939,-0.023615911602973938
268288,90,131,2968,2.5519806587936955e-06,0.00025,-0.00010880722891566263,-0.023232954702689313,1300,3212.0,0.025521703,0.134326171875,0.3,0.7267716526985168,-4.103705406188965,-7.638800977170467,-0.05062500387430191
270336,90,132,2991,2.030091178895077e-06,0.00025,-0.0001077738095238095,-0.024228603743540588,1310,3212.0,0.023147088,0.1314453125,0.3,0.7248280644416809,-2.6229474544525146,-7.617966730892658,-0.029863489791750908
272384,90,133,3012,2.468345662265392e-06,0.00025,-0.0001077738095238095,-0.025426305185828824,1320,3212.0,0.027815532,0.148095703125,0.3,0.7220233082771301,-2.2761740684509277,-7.597829884290695,-0.01925945095717907
274432,90,134,3036,2.668470090938513e-06,0.00025,-0.00010690588235294115,-0.022732764593092723,1330,3212.0,0.028215231,0.126806640625,0.3,0.7219976186752319,-3.8664050102233887,-7.589141936600209,-0.026106858626008034
276480,90,135,3060,2.5709488230774014e-06,0.00025,-0.000105953488372093,-0.017881674229283818,1340,3212.0,0.027166376,0.112060546875,0.3,0.7160793542861938,-2.3968522548675537,-7.561328572034836,-0.05975990742444992
